,GEOID,Pickup
670,17031611300.0,14
671,17031611400.0,14
672,17031710900.0,14
673,17031812801.0,14
674,17031840100.0,14
675,17031252101.0,14
676,17031620200.0,14
677,17031840800.0,14
678,17031720100.0,14
679,17031260100.0,14
680,17031640400.0,14
681,17031440800.0,13
682,17031560700.0,13
683,17031440600.0,13
684,17031810000.0,13
685,17031823001.0,13
686,17031590500.0,13
687,17031250200.0,13
688,17031720700.0,12
689,17031611600.0,12
690,17031710100.0,12
691,17031808800.0,12
692,17031151001.0,12
693,17031120100.0,12
694,17031110400.0,12
695,17031812900.0,12
696,17031161100.0,12
697,17031271500.0,12
698,17031490600.0,12
699,17031231100.0,12
700,17031390500.0,12
701,17031650302.0,12
702,17031690500.0,12
703,17031340500.0,11
704,17031190900.0,11
705,17031671300.0,11
706,17031812000.0,11
707,17031570500.0,11
708,17031480200.0,11
709,17031150600.0,11
710,17031150501.0,11
711,17031161200.0,11
712,17031530400.0,11
713,17031811701.0,11
714,17031191000.0,11
715,17031020701.0,11
716,17031230400.0,11
717,17031730300.0,10
718,17031821402.0,10
719,17031560300.0,10
720,17031826700.0,10
721,17031810900.0,10
722,17031700302.0,10
723,17031480100.0,10
724,17031120400.0,10
725,17031810400.0,10
726,17031130200.0,10
727,17031841700.0,10
728,17031460700.0,10
729,17031170200.0,9
730,17031301702.0,9
731,17031580200.0,9
732,17031020301.0,9
733,17031640500.0,9
734,17031817500.0,9
735,17031670200.0,9
736,17031351500.0,9
737,17031440700.0,9
738,17031671600.0,9
739,17031430800.0,9
740,17031808702.0,9
741,17031770602.0,9
742,17031611200.0,9
743,17031812700.0,9
744,17031600600.0,9
745,17031301803.0,9
746,17031620400.0,9
747,17031670800.0,9
748,17031380700.0,9
749,17031640600.0,9
750,17031480300.0,8
751,17031340600.0,8
752,17031611700.0,8
753,17031680600.0,8
754,17031815900.0,8
755,17031170400.0,8
756,17031100700.0,8
757,17031813900.0,8
758,17031812100.0,8
759,17031040800.0,7
760,17031816000.0,7
761,17031820501.0,7
762,17031110200.0,7
763,17031815400.0,7
764,17031826600.0,7
765,17031670700.0,7
766,17031740400.0,7
767,17031814400.0,7
768,17031612000.0,7
769,17031170100.0,7
770,17031260400.0,7
771,17031821102.0,7
772,17031809200.0,7
773,17031809900.0,7
774,17031811900.0,6
775,17031670100.0,6
776,17031810702.0,6
777,17031260500.0,6
778,17031814700.0,6
779,17031823200.0,6
780,17031251000.0,6
781,17031170800.0,6
782,17031611900.0,6
783,17031670300.0,6
784,17031808001.0,6
785,17031807900.0,6
786,17031813100.0,6
787,17031813000.0,6
788,17031814500.0,5
789,17031050900.0,5
790,17031814600.0,5
791,17031750200.0,5
792,17031770500.0,5
793,17031550200.0,5
794,17031833900.0,5
795,17031491200.0,5
796,17031251700.0,5
797,17031560100.0,5
798,17031760802.0,5
799,17031816200.0,5
800,17031561000.0,5
801,17031826500.0,5
802,17031813702.0,5
803,17031671200.0,5
804,17031611100.0,5
805,17031818000.0,5
806,17031381500.0,5
807,17031805502.0,5
808,17031740100.0,4
809,17031680500.0,4
810,17031561100.0,4
811,17031817101.0,4
812,17031812600.0,4
813,17031813802.0,4
814,17031671800.0,4
815,17031810501.0,4
816,17031820800.0,4
817,17031814800.0,4
818,17031814100.0,4
819,17031808200.0,4
820,17031170700.0,4
821,17031801200.0,3
822,17031818500.0,3
823,17031820700.0,3
824,17031770300.0,3
825,17031804609.0,3
826,17031818300.0,3
827,17031813701.0,3
828,17031813302.0,3
829,17031809500.0,3
830,17031802200.0,3
831,17031823603.0,3
832,17031806002.0,3
833,17031222900.0,3
834,17031813600.0,3
835,17031817200.0,3
836,17031090100.0,3
837,17031510200.0,3
838,17031807700.0,3
839,17031809700.0,3
840,17031841600.0,3
841,17031829901.0,3
842,17031520400.0,3
843,17031750400.0,3
844,17031230800.0,3
845,17031100300.0,3
846,17031813301.0,3
847,17031301100.0,3
848,17031805402.0,3
849,17031640700.0,3
850,17031827902.0,3
851,17031815500.0,3
852,17031815702.0,3
853,17031822500.0,3
854,17031827805.0,3
855,17031825600.0,3
856,17031825803.0,3
857,17031811100.0,2
858,17031835700.0,2
859,17031805901.0,2
860,17031610400.0,2
861,17031611000.0,2
862,17031671400.0,2
863,17031807100.0,2
864,17031819200.0,2
865,17031560900.0,2
866,17031825700.0,2
867,17031340400.0,2
868,17031806001.0,2
869,17031812802.0,2
870,17031820502.0,2
871,17031806102.0,2
872,17031824602.0,2
873,17031828100.0,2
874,17031812400.0,2
875,17031560400.0,2
876,17031670400.0,2
877,17031670900.0,2
878,17031808301.0,2
879,17031802505.0,2
880,17031824115.0,2
881,17031805501.0,2
882,17031813200.0,2
883,17031814300.0,2
884,17031825802.0,2
885,17031824400.0,2
886,17031530502.0,2
887,17031580300.0,2
888,17031822101.0,2
889,17031818401.0,2
890,17031826401.0,2
891,17031740300.0,2
892,17031802300.0,2
893,17031815200.0,2
894,17031824702.0,2
895,17031806801.0,2
896,17031825501.0,2
897,17031810701.0,2
898,17031812200.0,2
899,17031560200.0,2
900,17031821200.0,2
901,17031818900.0,1
902,17031817300.0,1
903,17031800700.0,1
904,17031801100.0,1
905,17031612100.0,1
906,17031826201.0,1
907,17031611800.0,1
908,17031811200.0,1
909,17031815100.0,1
910,17031825503.0,1
911,17031811800.0,1
912,17031808900.0,1
913,17031821700.0,1
914,17031800200.0,1
915,17031750300.0,1
916,17031826402.0,1
917,17031640100.0,1
918,17031806502.0,1
919,17031671100.0,1
920,17031380500.0,1
921,17031530100.0,1
922,17031770902.0,1
923,17031660301.0,1
924,17031823903.0,1
925,17031815000.0,1
926,17031720500.0,1
