GEO_ID,NAME,S1903_C03_015E
id,Geographic Area Name,Estimate!!Median income (dollars)!!FAMILIES!!Families
1400000US17031390500,"Census Tract 3905, Cook County, Illinois",82333
1400000US17031390600,"Census Tract 3906, Cook County, Illinois",121250
1400000US17031390700,"Census Tract 3907, Cook County, Illinois",117125
1400000US17031400300,"Census Tract 4003, Cook County, Illinois",34500
1400000US17031400400,"Census Tract 4004, Cook County, Illinois",35881
1400000US17031400500,"Census Tract 4005, Cook County, Illinois",22419
1400000US17031400800,"Census Tract 4008, Cook County, Illinois",23134
1400000US17031410100,"Census Tract 4101, Cook County, Illinois",101289
1400000US17031410200,"Census Tract 4102, Cook County, Illinois",78417
1400000US17031410500,"Census Tract 4105, Cook County, Illinois",128307
1400000US17031410600,"Census Tract 4106, Cook County, Illinois",83125
