,GEOID,D4A
1437,170438448011,627.64
1446,170978645053,956.22
1450,170317104004,367.47
1451,170438427022,460.0
1452,170438417051,792.6
1454,170310208022,223.97
1455,170310627002,207.87
1458,170318285034,569.98
1461,170318262014,689.34
1463,170318205013,590.09
1464,170318209011,289.68
1465,170315611005,453.3
1466,170318324001,209.21
1468,170438449023,1118.49
1469,170318315001,284.32
1470,170311908003,223.97
1471,170311909001,329.92
1472,170311910001,234.7
1473,170311910002,221.28
1474,170311911002,0.0
1475,170318322001,388.92
1476,170318322002,203.85
1481,170978616043,607.53
1482,170318310002,230.67
1483,170312222001,194.46
1484,170312222002,0.0
1485,170318324002,262.86
1486,170312227002,32.19
1487,170310311003,241.4
1488,170312421002,360.76
1489,170312422001,226.65
1490,170978616091,752.37
1491,170978615061,816.74
1492,170318318001,202.51
1493,170310601002,144.84
1495,170317404002,399.65
1496,170318210011,351.37
1497,170316706002,218.6
1498,170314212002,252.13
1499,170318063003,394.29
1500,170312205003,236.04
1501,170318258022,321.87
1502,170318148004,223.97
1505,170310307031,104.61
1506,170310308001,403.68
1507,170310308004,115.34
1508,170310309004,128.75
1509,170310311001,260.18
1510,170310312003,222.63
1511,170310705001,336.62
1512,170310705002,178.37
1513,170310706001,340.64
1514,170310707001,262.86
1515,170310707002,367.47
1516,170312228001,278.95
1517,170312301001,227.99
1518,170312304001,272.25
1519,170312305001,229.33
1520,170312306003,131.43
1522,170978638012,858.32
1524,170311801001,253.47
1525,170978645052,1095.7
1529,170318369001,154.23
1530,170314607001,167.64
1531,170318100002,400.99
1532,170318294021,759.07
1533,170318061022,564.61
1534,170318208002,663.85
1535,170317105002,366.13
1536,170312105012,355.4
1537,170312309001,222.63
1538,170312424002,244.08
1540,170318061021,525.72
1541,170318075003,76.44
1542,170318095002,194.46
1543,170318152002,215.92
1544,170318114014,309.8
1545,170318125004,278.95
1546,170318133011,120.7
1547,170318169002,230.67
1548,170310402024,227.99
1549,170310314002,191.78
1550,170310314001,160.93
1551,170318307002,214.58
1552,170310317003,388.92
1553,170310318001,238.72
1554,170310402014,383.56
1555,170310717001,356.74
1556,170310402012,254.81
1557,170310710001,155.57
1558,170310711002,114.0
1559,170310712001,97.9
1560,170310713001,175.69
1561,170310715003,152.89
1562,170310715002,210.56
1563,170310715004,205.19
1564,170318326003,258.84
1565,170311003005,315.16
1566,170311003006,484.14
1567,170311005001,295.05
1568,170311006001,215.92
1569,170311007002,602.16
1570,170316114002,174.35
1574,170314607002,213.24
1575,170314313021,262.86
1576,170314401022,227.99
1577,170316502003,317.85
1578,170311508003,140.82
1579,170316605001,210.56
1580,170316909003,276.27
1581,170317004013,482.8
1582,170317302015,500.24
1583,170318013002,363.44
1589,170978617022,0.0
1590,170978622002,167.64
1591,170978616073,1099.72
1592,170318202011,1072.9
1593,170318203004,476.1
1594,170310801003,177.03
1595,170310804001,410.38
1596,170318383001,281.64
1597,170310812012,210.56
1598,170311007005,257.5
1599,170311101001,139.48
1600,170311101003,166.3
1601,170311101004,379.54
1602,170311103002,372.83
1603,170311103003,158.25
1604,170311103004,364.78
1605,170311103005,270.91
1606,170311506003,218.6
1607,170311507003,221.28
1608,170311508001,197.14
1609,170311602002,642.4
1610,170311511004,177.03
1611,170311512001,274.93
1612,170311601002,355.4
1613,170310407002,293.71
1614,170311602004,557.91
1615,170311603003,469.39
1616,170311604001,497.56
1617,170318407002,191.78
1618,170316303001,537.79
1620,170318083014,490.85
1621,170318221022,299.07
1622,170318241232,427.82
1624,170318245063,1107.77
1625,170318265002,295.05
1626,170310403002,195.8
1627,170310403003,421.11
1628,170310404021,179.71
1629,170310404025,264.2
1630,170310404023,0.0
1631,170310406001,246.77
1632,170310406002,457.32
1633,170310407003,281.64
1634,170310408001,202.51
1635,170311201002,305.78
1636,170310409002,194.46
1637,170310402021,225.31
1638,170311104003,128.75
1639,170311105012,207.87
1640,170311201001,280.29
1641,170311604002,301.75
1642,170311202002,380.88
1643,170311202003,371.49
1644,170311202004,127.41
1645,170978624011,244.08
1646,170311604003,238.72
1647,170311607005,217.26
1648,170311608002,199.83
1649,170311608003,230.67
1650,170311610001,229.33
1651,170311610002,296.39
1652,170311611001,266.88
1653,170978628001,591.43
1654,170978623002,143.5
1656,170978629013,250.79
1657,170978631002,548.52
1658,170978629022,136.79
1659,170310901002,277.61
