Unnamed: 0,GEOID,Pickup,MedianIncome,Median Age,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit, Trip miles,Trip seconds
105,17031063400,3856,201949,27.5,62.2453446,22.49830309,0.158707865,0.824250986,155.57,4.407941176,844.6666667
106,17031070101,6587,127076,32.2,140.7509474,14.46223786,0.106995885,0.262695604,281.19,4.471089536,794.2669903
107,17031070102,3668,250000,31.1,110.7743143,29.67150148,0.14534924,0.469452415,208.7666667,4.688369678,863.5576324
108,17031070103,1865,71473,27.4,95.06818719,17.1649046,0.194329133,0.243371265,205.865,4.064380531,764.8915929
109,17031070200,7652,163182,29.5,52.09040649,29.6654365,0.262849023,1.189873055,297.28,4.189258555,804.0622624
110,17031070300,6872,221023,28.8,44.37624566,15.503816,0.381920957,0.758715246,223.295,3.90264938,767.8105975
111,17031070400,2969,250000,33.7,41.57758239,14.29586603,0.420000774,0.635385563,327.68,4.28817734,817.9376026
112,17031070500,2456,250000,34,46.44241172,22.01250367,0.434534509,1.234578728,286.1066667,3.683606557,731.6704918
113,17031070600,2551,184196,31.5,39.81584462,6.505812679,0.59140753,0.411902115,328.57,4.352380952,811.1740558
114,17031070700,3559,195724,31.8,27.22915462,11.09514142,0.514776644,1.297684062,315.165,4.242433234,838.785361
115,17031071000,2667,250000,21.3,61.37460006,6.508874158,0.490650159,0.761583012,180.38,3.768221071,736.2210708
116,17031071100,6118,233947,24.8,41.32050258,26.03676185,0.381786773,1.862049842,173.675,4.86667972,839.4773706
117,17031071200,5485,117188,29.6,30.71823343,20.78726843,0.452865883,1.471336521,180.38,3.808496732,765.939724
118,17031071300,3558,205515,31.3,52.11627905,10.38891172,0.432936451,0.427963752,192.45,4.035232558,764.894186
119,17031071400,7184,196053,37.2,82.89015571,28.38417323,0.479973446,0.697945527,121.035,3.863431373,730.052451
120,17031071500,14410,185179,31.8,80.58879833,19.86672378,0.284323324,0.457168698,181.0533333,3.860075472,703.0420126
121,17031071600,295,201875,34.2,46.45852638,4.894375323,0.233079222,0.261163735,197.14,4.23902439,734.2682927
122,17031071700,340,203438,39.3,43.77671779,2.756176384,0.26318419,0.166503537,411.725,3.73255814,721.3953488
123,17031071800,1417,183125,36,33.81258255,12.07901006,0.195803802,0.831265953,236.71,3.414534884,697.2209302
124,17031080100,7523,250000,48.5,132.4363199,15.28534691,0.082533336,0.225233282,176.07,4.011351611,726.2987013
125,17031080201,3076,151856,44.2,97.96507367,21.54321148,0.192120204,0.317533251,164.96,3.532009926,691.2593052
126,17031080202,7518,173220,39.1,82.88755235,32.16165133,0.217503218,0.628259756,140.37,4.115906887,726.8438409
127,17031080300,16179,200771,30.6,51.63024178,30.10390995,0.242864121,1.267242664,227.6525,3.664084014,682.8177363
128,17031080400,5123,38824,31.6,52.83144388,9.367764456,0.386998555,0.71192275,343.7733333,3.840063492,726.4755556
129,17031081000,14595,143750,30.3,123.4335028,55.57213543,0.234930423,0.909686952,109.3033333,5.517921455,832.3319574
130,17031081100,9086,140982,33,181.5817039,141.706115,0.408582137,1.098940902,156.91,3.898233909,709.3461538
131,17031081201,16771,250000,38,109.3687691,236.0122538,0.364623955,3.789877223,259.7333333,4.332570075,750.3995263
132,17031081202,5613,215813,59.1,92.41091899,37.69015351,0.212449256,0.953094269,239.055,4.016798539,717.507608
133,17031081300,12438,157708,52.5,130.6556612,230.7047871,0.17928309,3.847836189,179.485,4.33375295,756.6275898
134,17031081401,16203,250000,49.8,34.62500421,439.9863871,0.145990782,18.66022267,217.26,4.92960392,810.7545937
135,17031081402,15322,228750,35.7,144.1555903,30.43042705,0.357954625,0.766775862,168.0866667,4.145150502,710.1987876
136,17031081403,26511,184697,33.8,133.5434902,245.8460276,0.269163504,3.183314096,161.8266667,4.622021984,739.756774
137,17031081500,25771,211600,40.2,72.26034147,377.2073503,0.423470429,8.443777157,181.4966667,4.204521999,704.3799565
138,17031081600,14714,180208,32.1,115.1099115,152.8665851,0.251860628,1.832251901,109.97,4.24092847,692.8197537
139,17031081700,32456,145526,31.9,55.19337672,181.8040685,0.331919661,7.036731377,97.9,3.82375739,642.4460258
140,17031081800,32971,246467,34.4,63.27143092,192.1200884,0.622853746,6.110166747,210.11,3.905304582,655.6777358
141,17031081900,842,153125,36.1,27.20620134,3.036011634,0.628433471,0.250608273,932.08,3.711442786,717.721393
142,17031090100,10,130250,41.7,15.19564054,1.529011342,0.498470522,0.244544944,382.22,9.08,990.8
143,17031090200,621,157083,42.2,18.21324998,2.408585779,0.290929895,0.316809689,281.904,6.77852349,955.3930968
144,17031100100,246,100639,38.1,19.50182797,4.637481543,0.512820519,0.634250923,173.272,6.805952381,947.3214286
145,17031100200,347,111138,38.9,13.77678794,2.563169551,0.498498651,0.489531687,325.5085714,6.938709677,937.9516129
146,17031100300,104,116406,48.9,11.70695998,1.853065891,0.325217931,0.454913039,451.9566667,5.910606905,884.3655357
147,17031100400,106,113553,45.2,15.87478719,19.05208089,0.482019836,4.613476723,281.6366667,7.329411765,916.3529412
